Name,GWEIGHT,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
NUP85      : mRNA-nucleus export* ,1,-0.24,-0.04,-0.07,0.01,0.01,0.01,-0.22,-0.05,0.27,0.15,0.15,0.08,0.12,0.44,0.3,0.18,0.19,0.45,0.16,0.03,0.23,0.13,0.23,0.11,-0.19,0.04,-0.03,-0.03,-0.03,0.08,0.03,-0.19,-0.03,0.11,0.05,0.01
USE1       : ER to Golgi transport* ,1,0,0.14,-0.1,-0.11,0.05,0.19,-0.34,-0.26,0.2,0.28,0.06,-0.1,0.39,0.29,0.25,0.23,0.16,0.17,-0.19,-0.29,-0.14,-0.16,0.07,0.13,-0.3,-0.1,-0.07,0.03,0.09,0.26,-0.68,-0.2,-0.06,0.2,-0.04,0.05
          : biological process unknown ,1,0.24,0.29,-0.07,-0.24,0,0.16,-0.34,-0.25,0.56,0.24,0.14,0.11,0.46,0.4,0.52,0.63,0.61,0.51,-0.23,-0.14,0.05,0,0.15,-0.06,-0.02,0.3,0.12,0.21,0.04,0.02,-1.23,0.11,-0.05,0.08,0.1,0.05
VTA1       : late endosome to vacuole transport ,1,0.29,0.28,-0.15,-0.33,0.14,0.2,-0.35,-0.12,0.2,0.21,0.34,0.19,0.21,0.13,0.28,0.3,0.35,0.34,-0.28,-0.16,0.21,0.01,-0.04,0.09,-0.3,0,-0.11,0,0.12,0.05,-0.59,-0.16,0.02,0.07,0.18,0.07
MET18      : transcription from RNA polymerase II promoter* ,1,-0.16,-0.02,0.11,0.09,0.12,0.12,-0.42,-0.24,0.23,0.21,0.13,0.21,0.05,0.21,0.39,0.35,0.08,0.39,-0.62,-0.04,0.04,0.06,0.03,0.08,-0.12,0,0.12,0.06,-0.09,0.05,-0.78,0.31,0.09,0.16,0.07,0.16
PDR8       : response to stress* ,1,0.03,0.38,0.34,0.14,-0.02,0,-1.16,-0.73,0.36,0.26,0.08,-0.04,0.25,0.28,0.45,0.38,0.18,0.49,-0.69,-0.14,0.07,0.05,0.07,0.1,0.14,0.61,0.12,0.34,0.16,0.14,-0.55,-0.03,-0.17,0.11,0.02,0.01
KAP120     : protein-nucleus import ,1,-0.02,-0.03,0.08,0.06,0.05,-0.04,-0.41,-0.28,0.15,0.03,0.03,0.06,0.26,0.13,0.27,0.33,0.11,0.11,-0.16,0.01,0.09,0.04,-0.03,0,0.1,0.1,0.01,-0.03,0.02,0.06,-0.5,-0.17,-0.26,-0.01,-0.05,-0.14
MAK11      : ribosomal large subunit biogenesis ,1,-0.09,-0.04,-0.37,-0.37,-0.14,0.07,-0.35,-0.2,-0.01,-0.16,-0.04,-0.11,-0.03,0.12,0.12,0.35,0.31,0.19,0.41,0.03,0.19,0.07,0.27,0.06,-0.5,0.11,-0.12,-0.02,0.18,0.27,-1.07,-0.22,0.08,0.1,0.04,0.28
CTR86      : biological process unknown ,1,0.03,-0.05,-0.25,-0.38,-0.05,-0.12,-0.54,-0.48,-0.08,0.15,0.04,0.08,0.22,0.16,0.3,0.51,0.29,0.33,0.24,0.14,0.45,0.2,0.19,0.08,-0.12,0.08,-0.03,0.08,0.03,-0.02,-1.55,-0.21,-0.13,-0.1,-0.13,-0.11
GNT1       : protein amino acid N-linked glycosylation ,1,-0.31,-0.07,-0.24,-0.36,-0.32,-0.17,-0.56,-0.35,0.55,0.35,0.23,-0.02,0.34,0.32,0.42,0.73,0.54,0.04,0.15,0.64,0.36,0.26,0.35,0.1,-0.58,0.12,-0.12,0.07,0.04,0.15,-1.25,0.2,-0.06,0,-0.05,0.04
PNO1       : rRNA processing* ,1,-0.18,-0.17,-0.34,-0.59,-0.3,0.04,-0.17,-0.21,0.12,-0.01,0.07,-0.08,0.56,0.42,0.52,0.36,0.39,-0.03,0.06,0.3,0.35,0.08,0.24,-0.04,-0.49,-0.09,-0.02,-0.08,-0.03,0.23,-0.59,-0.01,0.11,0,-0.09,-0.03
          : biological process unknown ,1,0.06,0.03,-0.22,-0.23,-0.05,0.1,-0.25,-0.1,0.54,0.08,0.01,-0.06,0.14,0.13,0.17,0.29,0.25,0.4,0.2,0.49,0.25,0.16,0.16,0.1,-0.36,-0.01,-0.12,0.01,0.05,0.17,-0.41,0.24,0.14,0.07,0.12,0.06
          : biological process unknown ,1,-0.26,-0.34,-0.13,-0.2,-0.05,0.01,-0.3,-0.18,-0.11,-0.04,-0.1,0.07,0.2,0.16,0.11,0.2,0.24,0.54,0.04,-0.11,0.34,0.18,0.19,0.08,0.02,0.14,0.06,0.14,-0.06,0.12,-0.56,-0.28,-0.13,0.02,0.1,-0.07
TRM3       : tRNA methylation ,1,-0.3,-0.18,0,-0.11,0.08,0.18,-0.39,-0.23,0,0.16,0.03,0.24,0.26,0.12,0.26,0.43,0.27,0.56,0.09,-0.15,0.12,0.06,0.14,0.1,-0.14,-0.03,-0.17,-0.07,-0.16,0.05,-0.53,-0.65,-0.22,-0.18,-0.1,-0.12
          : biological process unknown ,1,-0.5,-0.41,-0.09,-0.39,0.09,0.1,-0.38,-0.35,-0.17,0.65,0.26,0.23,0.8,0.73,NA,NA,0.54,NA,NA,-0.23,0.05,0.11,0.57,-0.21,-0.01,-0.11,0.13,-0.15,-0.11,-0.34,NA,-0.9,-0.21,0.09,-0.01,-0.1
IPI1       : rRNA processing* ,1,-0.32,-0.29,-0.45,-0.58,-0.26,0.05,-0.48,-0.21,0.22,0.09,0.32,0.13,0.25,0.4,0.28,0.27,0.38,0.73,-0.35,-0.21,-0.11,0.07,0.14,0.04,-0.15,-0.01,-0.01,0,0.05,0.26,0.6,-0.1,0.01,0.14,0.04,0.14
          :  ,1,-0.63,-0.81,-1.41,-1.49,-1.12,-0.39,-0.89,-0.51,-0.17,-0.35,-0.2,-0.67,NA,NA,1.4,0.96,0.84,0.96,0.02,-0.38,-0.8,-0.31,-0.02,-0.14,-0.06,0.23,0.62,0.53,0.27,0.42,0.6,0.37,0.22,0.41,0.59,0.34
KTR7       : cell wall organization and biogenesis* ,1,-0.49,-0.32,-0.16,-0.21,-0.16,-0.1,-0.26,-0.29,-0.09,0.03,-0.05,-0.16,0.54,0.56,0.45,0.35,0.24,0.31,-0.6,-0.25,-0.01,-0.03,0.05,-0.02,0.25,0.24,-0.07,0.06,-0.01,0.09,0.76,0.57,0.21,0.06,-0.07,-0.12
          : biological process unknown ,1,-0.73,-0.3,-0.42,-0.15,-0.1,-0.06,-0.63,-0.49,0.07,-0.14,-0.31,-0.31,0.67,0.47,0.31,0.43,0,0.2,-0.37,-0.03,0.07,0.17,0.26,0.26,0.01,0.2,0.08,0.17,0,0.15,0.98,0.59,0.48,0.25,0.43,0.14
          : biological process unknown ,1,-1.77,-1.88,-1.7,-1.37,-0.82,-0.53,-1.23,-0.81,-0.37,-0.41,-0.24,-0.36,1.04,0.94,1.07,1.24,0.78,1.25,NA,-0.68,0.2,0.63,0.51,1.05,0.64,0.7,0.4,0.68,0.59,0.77,1.24,1.65,1.22,0.89,1.41,0.69
FSH1       : biological process unknown ,1,-1.73,-1.17,-1.05,-0.66,-0.14,-0.03,-1.82,-1.04,-0.66,-0.21,0.09,0.52,0.21,0.39,0.46,0.8,1.11,1.34,-0.44,-0.35,0.47,0.71,0.56,0.88,0.15,0.4,0.44,0.55,0.62,0.7,0.23,0.8,0.98,0.59,0.92,0.86
          :  ,1,-1.64,-2.15,-1.85,-1.44,-0.36,0.38,-0.84,-0.57,-1.21,-0.73,-0.24,0.61,1.45,1.82,1.26,1.34,1.59,1.91,1.62,-0.13,0.44,0.52,0.69,0.67,-0.58,-0.05,0.94,1.17,1.13,1.3,0.11,0.04,0.32,1.01,0.67,1.06
UNG1       : DNA repair ,1,-0.64,-0.27,-0.58,-0.42,-0.07,0.19,-0.06,-0.15,-0.12,-0.17,0.23,0.21,-0.01,0.11,0.4,-0.02,0.58,0.65,0.25,0.15,0.44,0.34,0.56,0.41,-0.09,0.01,0.22,0.39,0.37,0.75,0.46,0.13,0.31,0.58,0.11,0.51
HYS2       : nucleotide-excision repair* ,1,-0.09,-0.06,-0.27,-0.27,-0.04,0.02,-0.11,-0.26,-0.24,-0.14,0.01,-0.02,-0.06,0.07,0.24,0.07,0.22,0.13,0.06,-0.09,0.23,-0.03,0.16,0.02,-0.24,0.01,0.11,0.18,0.07,0.09,-0.09,-0.02,0.1,0.2,-0.08,0.04
RIO2       : processing of 20S pre-rRNA ,1,0,-0.14,-0.25,-0.27,-0.05,0.15,-0.4,-0.32,-0.16,-0.27,-0.09,-0.06,0.25,0.28,0.19,0.09,0.37,0.56,0.19,-0.17,0.17,0.02,0.07,-0.13,-0.11,-0.08,-0.03,0.07,0.1,0.21,-0.01,-0.02,0,0.16,0.01,0.13
SMT3       : protein sumoylation ,1,-0.53,-0.59,-0.71,-0.59,-0.14,-0.06,-0.97,-0.76,-0.23,-0.29,-0.22,-0.18,0.07,0.12,0.02,0.14,0.36,0.6,0.25,-0.35,0.15,-0.03,0.09,-0.04,-0.45,-0.2,-0.14,0.14,0.15,0.52,-0.04,-0.11,-0.2,0.23,-0.06,0.05
NGL2       : rRNA processing ,1,-0.47,-0.56,-0.42,-0.45,-0.13,-0.25,-0.24,-0.35,-0.32,-0.14,-0.22,-0.05,0.07,0.06,0.38,0.23,0.46,0.44,0.04,-0.44,0.03,-0.05,0.14,0.01,-0.14,-0.09,-0.15,-0.01,-0.06,0.11,-0.23,-0.11,-0.08,0.04,-0.03,-0.02
PEA2       : actin filament organization* ,1,-0.22,-0.21,-0.23,-0.32,-0.25,-0.22,-0.48,-0.42,-0.44,0,-0.02,-0.27,0.41,0.47,0.45,0.2,0.34,0.27,-0.15,0.16,0.25,0.21,0.41,0.14,-0.1,0.11,0.16,0.1,0.07,0.24,-0.38,0,0.21,0.24,0,0.06
FAF1       : processing of 20S pre-rRNA ,1,-0.28,-0.07,-0.25,-0.43,-0.28,0.08,-0.5,-0.53,-0.51,-0.31,-0.18,-0.22,0.43,0.33,0.31,0.11,0.33,0.14,0.4,0.07,0.16,0.12,0.24,0.11,-0.2,0.02,-0.23,-0.2,-0.08,0.1,0.03,0.18,0.23,0.03,0.05,0.22
          : biological process unknown ,1,-1.1,-1.02,-0.94,-0.37,-0.14,0.15,NA,-0.9,-0.38,-0.13,-0.05,-0.06,0.31,-0.4,0.06,0.24,0.38,0.68,0.16,-0.19,-0.41,-0.13,-0.3,0.23,-0.32,-0.12,-0.32,-0.14,0.21,0.49,0.42,1.2,0.91,0.23,1.03,0.75
          : biological process unknown ,1,-0.91,NA,-0.87,-0.32,0.06,-0.31,-1.15,-0.96,-0.56,-0.5,-0.38,0.15,-0.3,-0.4,0.41,0.63,0.41,0.63,NA,-0.72,-0.06,0.26,-0.12,0.54,-0.16,-0.51,NA,-0.17,0.2,0.27,NA,0.27,0.87,-0.43,0.68,0.96
PRM7       : conjugation with cellular fusion ,1,-0.78,-1.09,-0.65,-0.09,0.01,-0.07,-1.02,-0.74,-0.88,-0.34,-0.31,0.1,-0.26,-0.2,0.09,0.4,0.21,0.52,-1.11,-0.46,0.05,0.3,0.01,0.48,-0.05,-0.41,-0.48,-0.2,0.15,0.2,-0.49,0.4,1.06,-0.37,0.85,0.97
RRS1       : rRNA processing* ,1,-0.13,-0.32,-0.21,-0.31,0.03,0.35,-0.41,-0.51,-0.81,-0.33,-0.32,0.1,0.1,-0.02,0.17,0.03,0.18,0.21,-0.4,-0.19,0.14,-0.06,0.07,-0.13,-0.17,-0.17,0.22,0.26,0.39,0.58,-0.47,-0.37,0,0.3,-0.06,0.17
NSA1       : ribosomal large subunit biogenesis ,1,-0.24,-0.2,-0.26,-0.44,-0.04,0.37,-0.25,-0.29,-0.41,-0.42,-0.09,0.14,-0.07,0.23,0.35,0.15,0.46,0.13,-0.85,-0.32,-0.02,-0.15,-0.07,-0.18,-0.22,0.04,-0.01,0.04,0.23,0.29,-0.89,-0.45,0.06,0.17,-0.01,0.16
RNA15      : mRNA polyadenylylation* ,1,-0.1,-0.26,0.02,-0.14,0.06,0.14,0.06,-0.05,-0.1,-0.06,0.17,0.03,-0.05,0.08,0.15,-0.07,0.29,0.73,-0.91,-0.19,0.11,0.04,0.12,0.05,-0.22,0.03,-0.12,-0.1,0.11,0.23,-0.95,-0.19,0.06,0.13,-0.07,0.21
          : biological process unknown ,1,-0.07,0.16,-0.16,0.03,0.25,0.25,-0.33,-0.07,-0.32,0.03,-0.27,0.28,-0.11,-0.08,0.21,0.18,0.33,0.27,-0.94,-0.21,0.06,0.08,0.12,0.19,-0.29,-0.11,-0.08,0.05,0.13,0.37,-0.58,-0.3,-0.08,0.09,0.08,0.3
KAP104     : protein-nucleus import* ,1,-0.41,-0.24,-0.15,0.07,0.17,0.24,-0.13,-0.04,-0.15,-0.14,-0.15,0.3,-0.01,0.18,0,0.11,0.11,0.33,-0.91,-0.35,0.05,0.06,0.02,0.13,-0.02,0.15,0.19,0.02,0.15,0.3,-0.2,0,0.07,0.13,0.22,0.28
          :  ,1,-1.07,-0.56,-0.52,-0.3,-0.11,0.16,-0.54,-0.33,-0.12,0.13,-0.15,0.18,-0.1,0.31,0.03,NA,0.32,0.74,NA,-0.15,-0.13,0.02,0.07,0.35,-0.26,-0.15,-0.03,0.31,0.11,0.27,0.16,-0.09,-0.11,0.2,0.16,0.17
POP5       : rRNA processing* ,1,-0.87,-0.56,-0.56,-0.34,-0.06,-0.12,-0.98,-0.41,0.44,0.51,0.56,0.34,-0.27,-0.14,-0.17,0.12,0.12,0.61,-0.59,-0.3,0.12,0.28,0.32,0.42,-0.26,-0.17,0.07,0.29,0.17,0.18,-0.01,0.03,0.27,0.38,0.13,0.06
          : biological process unknown ,1,-0.66,-0.5,-0.31,-0.53,-0.52,-0.26,-0.99,-0.64,0.12,0.31,0.34,0.03,-0.26,0,0.24,0.08,0.44,0.31,-0.44,-0.12,0.12,0.12,0.33,0.05,-0.29,0.02,0.13,0.25,0.2,0.28,-0.03,0.17,0.38,0.38,0.34,0.13
NTA1       : protein catabolism* ,1,-0.32,-0.36,-0.27,-0.38,-0.12,-0.01,-0.4,-0.48,0.18,0.02,0.24,0.07,-0.01,0.09,0.3,0.3,0.25,0.19,-0.37,-0.25,0.06,-0.15,0.02,-0.04,-0.39,-0.2,0.08,0.14,0.22,0.19,-0.21,-0.02,0.14,0.23,0.09,0.26
MST27      : vesicle organization and biogenesis ,1,-1.08,NA,-0.69,-0.57,-0.29,0.37,-1.29,-0.9,-0.87,-0.13,0.25,0.42,-0.17,0.25,0.08,0.2,0.77,NA,NA,-0.79,0.18,0.33,0.32,0.49,-1.3,-0.32,-0.62,0.09,0.57,0.49,NA,-0.15,0.24,0.77,0.78,0.65
PAC10      : tubulin folding ,1,-0.39,-0.22,-0.24,-0.28,-0.16,0.16,-0.83,-0.56,-0.31,-0.06,0.12,0.16,0.22,0.22,0.18,0.01,0.28,0.35,-1.36,-0.48,0.19,0.12,0.27,0.1,-0.27,-0.22,-0.11,-0.09,0.02,0.23,0.13,-0.01,0.07,0.41,0.15,0.2
SSZ1       : protein biosynthesis ,1,-0.61,-0.43,0.14,0.15,0.19,0.29,-0.76,-0.68,-0.88,-0.44,-0.09,0.36,-0.26,-0.01,0.02,-0.08,0.41,0.48,-0.56,-0.43,0.12,0.04,0.13,0.13,-0.27,0.02,0.17,0.16,0.31,0.3,-0.8,0.06,0.35,0.44,0.51,0.53
PRS3       : histidine biosynthesis* ,1,-0.25,-0.16,-0.07,-0.02,0.23,0.24,-1.04,-0.52,-0.27,-0.11,-0.05,0.51,-0.06,0.1,0.31,0.34,0.71,0.79,-0.28,-0.6,-0.02,-0.03,0.13,0.27,-0.41,0.07,0.15,0.02,0.25,0.36,-0.57,0.48,0.39,0.51,0.55,0.65
ORC5       : DNA replication initiation* ,1,-0.16,-0.26,-0.13,-0.12,0.14,0.42,-0.53,-0.59,0.03,0.1,0.18,0.43,-0.09,-0.05,0.1,0.22,0.3,0.52,-0.16,-0.21,0.04,0.19,0.05,0.33,-0.14,-0.14,0.11,0.16,0.26,0.27,-0.01,0.23,0.21,0.18,0.39,0.41
          : biological process unknown ,1,-0.41,-0.25,-0.17,-0.14,-0.1,0.19,-0.7,-0.58,-0.07,0.12,0.24,0.35,0.15,0.34,0.35,0.28,0.66,0.63,-0.96,-0.26,0.17,0.25,0.32,0.27,0.05,0.38,0.35,0.32,0.31,0.39,-0.56,0.02,0.34,0.29,0.39,0.51
INM1       : inositol phosphate dephosphorylation ,1,-0.29,-0.06,-0.35,-0.31,-0.04,0.12,-0.96,-0.86,-0.51,-0.44,-0.16,-0.03,1.07,0.9,0.65,0.34,0.64,0.66,-1.19,-0.45,0.14,0.11,0.2,0.19,0.08,0.72,0.57,0.56,0.58,0.56,-0.52,0.3,0.5,0.69,0.48,0.45
URH1       : pyrimidine salvage* ,1,-0.04,0.3,-0.33,-0.2,0.09,0.29,-0.95,-0.63,-0.66,-0.51,-0.47,0.06,0.22,0.52,0.58,0.68,0.8,0.94,-1.34,-0.45,-0.16,-0.03,0.12,0.16,0.16,0.39,0.48,0.47,0.33,0.52,-0.72,0.24,0.52,0.49,0.53,0.55
RFC4       : mismatch repair* ,1,-0.2,0.22,-0.35,-0.28,-0.04,0.25,-0.58,-0.46,-0.41,-0.08,-0.06,0.17,-0.03,-0.11,0.03,-0.04,0.29,0.82,-0.48,-0.56,-0.1,-0.09,0,-0.06,-0.21,-0.1,0.18,0.22,0.18,0.4,-0.38,-0.15,-0.05,0.16,0.19,0.23
APN1       : DNA repair* ,1,-0.04,-0.09,0.02,-0.12,0.07,0.29,-0.8,-0.62,-0.06,0.14,0.14,-0.03,0.14,0.09,0.17,0.14,0.35,0.14,-0.15,-0.48,-0.06,-0.12,0.19,-0.04,-0.16,0.23,0.08,0.12,0.28,0.22,-0.6,-0.15,0.09,0.22,0.14,0.23
GLN4       : glutaminyl-tRNA aminoacylation ,1,-0.78,-0.68,-0.2,-0.11,-0.08,-0.06,-0.25,-0.15,0.1,0.32,0.4,0.1,0.05,0,-0.07,0.01,0.06,-0.01,-0.15,-0.25,-0.02,-0.03,0.25,-0.18,-0.44,0.04,0.27,0.24,0.19,0.35,-0.52,-0.32,0.08,0.29,0.21,0.06
CAT5       : ubiquinone metabolism ,1,-0.78,-0.65,-0.48,-0.16,0.1,0.05,-0.35,-0.01,0.33,0.28,0.3,0.03,0.26,0.29,0.53,0.32,0.37,0.26,-0.51,-0.58,-0.13,-0.09,0.07,-0.19,-0.45,0.05,0.26,0.39,0.28,0.47,-0.28,0.08,-0.01,0.47,0.13,0.08
TAF14      : chromatin remodeling* ,1,-0.27,-0.17,0.06,0.1,-0.01,0.04,-0.34,-0.14,0.27,0.24,0.15,0.04,0.29,0.1,0.4,0.12,0.34,0.26,0.03,-0.2,0.11,0,0.18,-0.1,-0.16,0.13,0.1,0.18,0.1,0.28,-0.11,0.03,0.1,0.39,0.12,-0.03
BTT1       : nascent polypeptide association ,1,-0.52,NA,-0.37,0.09,0.04,0.36,-0.66,0.16,0.45,0.41,0.41,0.1,NA,0.7,0.55,0.85,0.12,0.74,NA,-0.69,-0.39,-0.31,0.08,0.05,-0.26,0.36,-0.26,0.14,0.12,0.24,NA,0.08,0.14,NA,NA,-0.05
VMA22      : protein complex assembly* ,1,-0.19,0.09,-0.08,-0.45,-0.06,-0.03,-1.15,-0.61,0.4,0.51,0.39,-0.04,0.28,0.16,0.32,-0.73,0.25,0.54,0.31,0.27,0.39,0.18,0.27,0.09,-0.1,0.02,-0.25,-0.04,-0.01,-0.05,-0.03,-0.27,0,0.21,-0.05,-0.2
NUT2       : transcription from RNA polymerase II promoter ,1,-0.24,-0.35,-0.12,-0.18,-0.02,-0.01,-0.73,-0.8,-0.3,0.01,0.27,0.17,0.29,0,0.27,0.05,-0.01,0.02,NA,0.3,0.73,0.79,0.47,0.07,0.34,0.32,0.41,0.15,0.26,0.03,0.07,-0.5,-0.02,0.09,-0.1,-0.12
RNH70      : DNA replication* ,1,-0.11,-0.19,-0.22,-0.35,-0.29,-0.03,-0.38,-0.66,-0.05,0.11,0.14,-0.14,0.27,0.25,0.08,0.12,0.23,-0.19,0.63,-0.07,0.27,0,0.25,-0.18,0.04,0.25,0.17,0.1,0.22,0.12,-0.15,-0.34,0,0.07,-0.16,-0.05
          : biological process unknown ,1,-0.32,-0.22,0.06,-0.16,-0.29,-0.31,-0.34,-0.4,0.36,0.28,-0.04,-0.18,0.26,0.25,0.26,0.43,0.05,0.15,0.47,0,0.06,0,0.06,-0.11,0.01,0.16,0.14,0.13,-0.03,-0.21,-0.04,-0.22,-0.13,-0.04,-0.12,-0.34
YSA1       : biological process unknown ,1,-0.14,0.01,-0.28,-0.22,-0.23,-0.29,-0.59,-0.16,0.22,0.15,0.05,-0.43,0.82,0.58,0.83,0.63,0.53,0.28,1.07,0.06,0.14,0.03,0.13,0.04,0.97,1,0.45,0.51,0.11,-0.07,0.27,0.12,-0.04,0.02,-0.08,-0.3
SSP120     : protein secretion ,1,0.48,0.56,0.04,-0.23,-0.27,-0.22,-0.53,-0.79,0.15,-0.02,0.01,-0.37,0.49,0.32,0.26,0.41,0.05,0.08,0.71,0.31,0.25,0.02,0.01,-0.06,0.48,0.56,0.04,0.13,-0.02,-0.1,0.19,0.29,0.1,0.04,0,-0.16
          : biological process unknown ,1,0.36,0.3,-0.22,-0.49,-0.41,-0.14,-1.31,-1.31,0.02,-0.18,-0.19,-0.57,0.39,0.46,0.72,0.6,0.43,0.64,0.3,-0.1,0.01,-0.08,-0.11,-0.41,-0.4,0.23,-0.23,-0.12,-0.3,-0.13,NA,0.06,-0.21,-0.08,-0.16,-0.21
          :  ,1,0.55,0.45,-0.18,-0.55,-0.34,-0.12,-1.13,-1.21,-0.05,-0.4,-0.3,-0.64,0.92,0.63,0.47,0.64,0.31,0.35,0.37,0.23,-0.02,-0.22,-0.15,-0.35,0.25,0.45,-0.31,-0.03,-0.1,-0.05,-0.24,0.18,0.06,0.01,-0.01,-0.23
YAR1       : response to osmotic stress* ,1,-0.09,0.02,-0.46,-0.38,-0.11,-0.09,-0.77,-0.68,-0.29,-0.23,0.01,-0.18,0.57,0.19,0.21,0.09,0.36,0.33,0.55,-0.05,0.18,-0.14,0.14,-0.22,0.29,0.1,-0.09,-0.05,-0.04,-0.15,-0.07,-0.26,0.07,0.07,-0.07,-0.06
MED8       : transcription from RNA polymerase II promoter ,1,0.17,0.12,-0.04,-0.11,-0.01,0.11,-0.48,-0.37,0.16,0.14,0.08,-0.03,0.19,0.03,0.28,0.13,0.13,0.28,0.19,0.04,0,0.01,-0.03,-0.05,-0.15,0.12,-0.07,0.03,0,0.06,-0.38,0.11,-0.02,-0.06,-0.05,-0.07
REV7       : DNA repair* ,1,0.01,0.19,-0.32,-0.47,-0.19,-0.04,-0.83,-0.64,0.17,0.18,0.03,-0.2,0.16,-0.08,0.01,0.19,0,0.32,0.45,-0.34,-0.18,-0.09,0.08,0.05,0.01,0.16,-0.31,-0.13,0,0.02,-0.16,0.18,0.12,0.22,0.07,-0.05
MTD1       : one-carbon compound metabolism* ,1,-0.18,0.13,-0.27,-0.18,-0.23,-0.05,-0.6,-0.64,-0.23,-0.19,-0.18,-0.33,0.5,0.45,0.51,0.12,0.42,0.4,0.34,-0.45,-0.32,-0.26,-0.11,-0.16,-0.18,0.11,0.17,0.29,0.41,0.58,0.32,-0.39,-0.18,0.42,-0.27,0.13
ROX3       : transcription from RNA polymerase II promoter ,1,-0.46,-0.13,-0.37,-0.47,-0.42,-0.12,-0.75,-0.37,0.12,0.13,0.29,-0.08,0.44,0.24,0.23,0.06,0.09,-0.1,-0.6,-0.45,-0.22,-0.07,-0.17,-0.16,0.15,0.3,-0.03,0.02,0,-0.02,0.05,0.12,0.02,0.05,0.09,0.06
PPS1       : protein amino acid dephosphorylation* ,1,-0.21,-0.03,0.08,-0.05,0.03,0.04,0.09,-0.06,-0.1,-0.09,0.11,0.07,0.15,0.35,0.23,0.14,0.26,0.34,-0.37,-0.09,0.08,-0.04,-0.01,-0.07,0.08,0.24,0.16,0.06,0.08,0.08,-0.18,-0.07,0.12,0.04,0.08,0.03
CEP3       : mitotic spindle checkpoint ,1,-0.32,0.12,-0.04,0.06,-0.1,-0.21,0.18,-0.19,0.11,0.07,0.11,0.08,0.14,0.2,0.36,0.45,0.38,-0.1,0,0.24,0.28,0.06,0.05,-0.24,-0.29,-0.04,0.07,-0.06,-0.19,-0.23,NA,-0.12,-0.23,-0.16,-0.18,-0.12
YSP1       : biological process unknown ,1,0.09,0.08,0.19,0.12,-0.01,-0.15,0.14,0.1,-0.01,-0.01,-0.06,-0.04,0.14,0.08,0.18,0.17,0.08,0.04,-0.27,0.15,0.05,-0.06,0.01,0,0.11,0.15,0.07,-0.14,-0.19,-0.16,-0.2,-0.16,-0.18,-0.25,-0.24,-0.17
UBA1       : ubiquitin cycle ,1,0.39,0.1,0.26,0.2,-0.02,-0.07,0.32,0.13,0.09,-0.01,-0.16,-0.08,0.62,0.29,0.46,0.24,0.32,0.23,-0.09,0.32,0.26,0.07,0.02,-0.22,0.29,0,0.13,-0.23,-0.18,-0.31,-0.28,-0.28,-0.25,-0.21,-0.19,-0.39
ATP6       : protein complex assembly* ,1,0.03,1,0.89,-0.09,-0.22,-0.39,0.63,-0.23,0.73,-1.28,0,-0.63,1.45,1.12,1.18,1.82,1.02,0.72,-0.44,2.71,1,0.82,0.14,0.26,-0.23,0.42,0.53,0.31,-0.18,-1.04,-1.14,-1.56,-0.48,-0.52,-0.68,-1.01
          : biological process unknown ,1,0.45,0.14,0.04,-0.06,-0.2,-0.02,0.68,0.22,-0.1,-0.1,-0.05,-0.13,0.53,0.43,0.52,0.64,0.73,0.52,0.19,0.46,0.2,0.06,-0.04,-0.02,0.31,0.02,0.04,-0.03,0.03,-0.04,-0.88,-0.17,-0.46,-0.29,-0.28,0.15
RLR1       : mRNA-nucleus export* ,1,-0.33,-0.21,0.24,0.07,-0.2,-0.46,0.79,0.25,0.15,-0.07,0.02,-0.22,0.05,0.21,0.26,0.41,0.08,0,-0.04,0.45,0.4,0.01,0.17,-0.22,0.39,0.26,0.1,-0.24,0.14,-0.07,NA,-0.26,-0.12,-0.36,-0.39,-0.24
CHO2       : phosphatidylcholine biosynthesis ,1,-0.87,-0.45,-0.05,-0.38,-0.35,-0.5,-0.09,0.03,0.84,0.35,0.19,-0.26,-0.21,0.14,0.23,0.23,-0.07,-0.09,-0.12,0.98,0.59,0.5,0.46,0.25,0.38,0.38,-0.05,-0.05,0.14,-0.25,-0.46,0.58,0.03,-0.24,-0.2,-0.24
KHA1       : monovalent inorganic cation transport ,1,0.15,0.08,0.14,0.42,-0.27,-0.45,0.57,0.69,0.41,0.23,-0.05,-0.08,0.17,0.12,0.47,0.61,0.26,0.21,0.17,0.81,0.41,0.53,0.21,0.5,0.56,0.83,0.34,0.27,0.16,-0.18,-0.42,0.71,0.08,-0.28,0.22,0.25
KRE6       : cell wall organization and biogenesis* ,1,-0.06,-0.31,-0.29,0,0.03,-0.21,0.93,0.57,0.18,0.06,0.08,0.11,0.11,0.08,0.14,0.47,0.02,0.32,0.13,0.43,0.35,0.34,-0.02,0.32,0.41,0.17,0.2,0.19,0.07,-0.28,-0.93,0.62,0.32,-0.28,0.23,0.26
